,detached_gju,attached_gju,apartment_gju
2020,20.56991680510447,2.5318752778786817,1.1146370061413116
2021,22.073890919541512,2.692313535968804,1.2204746548381684
2022,21.72576586624542,2.64951236319906,1.2145612980350942
2023,20.31891816085964,2.457370658294895,1.1250579625281252
2024,18.75923430587665,2.233752121073914,0.9689791345863701
2025,17.88404234575989,2.132497012802464,0.9170447151805714
2026,16.773269309055237,1.9747664044093727,0.849954166926111
2027,15.686928619642746,1.820773494086841,0.7839099877220052
2028,14.625020277522486,1.6705182818348565,0.7189121775682515
2029,13.587544282694456,1.5240007676534115,0.6549607364648492
2030,12.574500635158708,1.3812209515425238,0.5920556644118008
2031,11.642616551185082,1.2798077361862528,0.554709456377752
2032,10.73343088236522,1.180934209963225,0.5179549980780966
2033,9.84694362869912,1.0846003728734248,0.48179228951283315
2034,8.983154790186823,0.9908062249168668,0.44622133068196407
2035,8.142064366828249,0.8995517660935376,0.4112421215854881
2036,7.073480487426552,0.7892771542018758,0.3657331051001228
2037,6.035875152411189,0.6822880007130262,0.3210321322499409
2038,5.029248361782181,0.5785843056269987,0.2771392030349414
2039,4.053600115539476,0.4781660689437845,0.2340543174551244
2040,3.1089304136831024,0.38103329066339103,0.19177747551048932
2041,2.5067814223772795,0.3098278252606933,0.15920983880944192
2042,1.9243704334055214,0.24105048187969824,0.12726828758396752
2043,1.361697446767806,0.17470126052040202,0.09595282183406592
2044,0.8187624624641454,0.11078016118280763,0.06526344155973762
2045,0.2955654804945401,0.049287183866912936,0.03520014676098234
2046,0.2698649320242426,0.0442956187648722,0.03512146353248247
2047,0.24495570098133035,0.03947059711306764,0.03503639419452538
2048,0.2208377873658051,0.034812118911499906,0.03494493874711123
2049,0.19751119117766675,0.030320184160168646,0.034847097190239935
2050,0.17497591241691535,0.025994792859073645,0.03474286952391141
