"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Propane,Commercial,Space Heating,971.4104231964861
2016,Propane,Commercial,Water Heating,99.90862672257252
2016,Propane,Industry,Space Heating,21.86056236638944
2016,Propane,Industry,Water Heating,96.27296372222754
2016,Propane,Residential,Space Heating,0.2696660549952014
2016,Propane,Residential,Water Heating,10.1504068342665
2016,Synthetic Gas,Commercial,Auxiliary Equipment,0.43879259017156946
2016,Synthetic Gas,Commercial,Space Cooling,0.20236850872521614
2016,Synthetic Gas,Commercial,Space Heating,1.4803941801777245
2016,Synthetic Gas,Commercial,Water Heating,0.7410006178563076
2016,Synthetic Gas,Public,Auxiliary Equipment,0.046241958379420266
2016,Synthetic Gas,Public,Space Cooling,0.21200478271148285
2016,Synthetic Gas,Public,Space Heating,0.03125355224780966
2016,Synthetic Gas,Public,Water Heating,0.3872498664262843
2016,Synthetic Gas,Residential,Space Heating,0.762424898978452
2016,Synthetic Gas,Residential,Water Heating,0.30214017926575387
2017,Biomass,Industry,Industrial Processes,85.29557083206842
2017,Biomass,Residential,Space Heating,213.8058212821451
2017,Biomass,Residential,Water Heating,20.586897302473545
2017,Bio Methane,Commercial,Auxiliary Equipment,14.081329165333822
2017,Bio Methane,Commercial,Space Cooling,1.3654153955633053
2017,Bio Methane,Commercial,Space Heating,393.1659232089425
2017,Bio Methane,Commercial,Water Heating,84.17621414864865
2017,Bio Methane,Public,Auxiliary Equipment,1.30872302032725
2017,Bio Methane,Public,Space Cooling,11.303735106731697
2017,Bio Methane,Public,Space Heating,18.353207564607267
2017,Bio Methane,Public,Water Heating,55.574794096904704
2017,Bio Methane,Residential,Space Heating,194.22109556824523
2017,Bio Methane,Residential,Water Heating,112.45305993819535
2017,Wood Pellet,Residential,Space Heating,0.49699871788483796
2017,Wood Pellet,Residential,Water Heating,21.318041658375126
2017,Coal,Industry,Industrial Processes,98.19764703989455
2017,District Cooling,Commercial,Space Cooling,1256.934399332862
2017,District Cooling,Public,Space Cooling,246.24859450662436
2017,District Cooling,Residential,Space Cooling,48.122033428044006
2017,District Heating,Commercial,Space Heating,2873.3655598554255
2017,District Heating,Commercial,Water Heating,460.1872224503393
2017,District Heating,Public,Space Heating,1495.7761051705859
2017,District Heating,Public,Water Heating,301.39003475093773
2017,District Heating,Residential,Space Heating,48.73972151264297
2017,District Heating,Residential,Water Heating,996.1004759182094
2017,Electricity,Commercial,Auxiliary Equipment,17310.41788425507
2017,Electricity,Commercial,Auxiliary Motors,2280.1830597239727
2017,Electricity,Commercial,Lighting,30162.61142573881
2017,Electricity,Commercial,Space Cooling,2653.849148093466
2017,Electricity,Commercial,Space Heating,1652.858777490247
2017,Electricity,Commercial,Street Lighting,496.34352465734884
2017,Electricity,Commercial,Water Heating,262.97539808260933
2017,Electricity,Industry,Industrial Processes,2668.5788420300805
2017,Electricity,Industry,Lighting,650.281587918987
2017,Electricity,Industry,Space Cooling,367.0206712747132
2017,Electricity,Industry,Space Heating,756.428691705242
2017,Electricity,Industry,Water Heating,1008.7718635512051
2017,Electricity,Public,Auxiliary Equipment,2026.077514199528
2017,Electricity,Public,Auxiliary Motors,537.8945829310583
2017,Electricity,Public,Lighting,1977.3099789997282
2017,Electricity,Public,Space Cooling,1183.5493686958594
2017,Electricity,Public,Space Heating,790.8994952246946
2017,Electricity,Public,Water Heating,10.696926683896335
2017,Electricity,Residential,Other Appliances,5891.031161700284
2017,Electricity,Residential,Clothe Dryer,2027.8375234819437
2017,Electricity,Residential,Clothe Washer,110.91940440572328
2017,Electricity,Residential,Dish Washer,145.24215064579806
2017,Electricity,Residential,Freezer,512.7659593069611
2017,Electricity,Residential,Lighting,2453.075799232918
2017,Electricity,Residential,Range,1867.4503572762994
2017,Electricity,Residential,Refrigerator,1579.0001032223083
2017,Electricity,Residential,Space Cooling,3097.613954317368
2017,Electricity,Residential,Space Heating,4156.482054869453
2017,Electricity,Residential,Water Heating,741.7059619719937
2017,Heavy Fuel Oil,Commercial,Space Heating,3.016991300426763
2017,Heavy Fuel Oil,Commercial,Water Heating,6.380422177982564
2017,Heavy Fuel Oil,Industry,Industrial Processes,42.62422925595637
2017,Heavy Fuel Oil,Industry,Space Heating,25.38359589931376
2017,Heavy Fuel Oil,Industry,Water Heating,60.73316189565562
2017,Heavy Fuel Oil,Public,Water Heating,0.5068935896178929
2017,Hydrogen,Residential,Space Heating,0.5847657091830524
2017,Hydrogen,Residential,Water Heating,0.32758624924234725
2017,Kerosene,Commercial,Space Heating,3.0171247759791515
2017,Kerosene,Commercial,Water Heating,6.380620304963161
2017,Kerosene,Public,Water Heating,0.5068926170948226
2017,Kerosene,Residential,Space Heating,0.36540622171175685
2017,Kerosene,Residential,Water Heating,13.256970543471668
2017,Light Fuel Oil,Commercial,Space Heating,206.13873653362896
2017,Light Fuel Oil,Commercial,Water Heating,237.84935904436745
2017,Light Fuel Oil,Industry,Industrial Processes,479.22644132767414
2017,Light Fuel Oil,Industry,Space Heating,24.773765616325758
2017,Light Fuel Oil,Industry,Water Heating,44.320133061092434
2017,Light Fuel Oil,Public,Space Heating,344.6273764610187
2017,Light Fuel Oil,Public,Water Heating,22.8748931450088
2017,Light Fuel Oil,Residential,Space Heating,775.3958934105464
2017,Light Fuel Oil,Residential,Water Heating,103.39999371521233
2017,Mix Energy,Industry,Industrial Processes,15281.617316096808
2017,Natural Gas,Commercial,Auxiliary Equipment,2648.467062578603
2017,Natural Gas,Commercial,Space Cooling,122.32257950116004
2017,Natural Gas,Commercial,Space Heating,37189.302364296105
2017,Natural Gas,Commercial,Water Heating,5919.820577802166
2017,Natural Gas,Industry,Industrial Processes,11670.467983818762
2017,Natural Gas,Industry,Space Cooling,30.242008664999855
2017,Natural Gas,Industry,Space Heating,732.2038301960035
2017,Natural Gas,Industry,Water Heating,2873.558542551017
2017,Natural Gas,Public,Auxiliary Equipment,383.68065948526555
2017,Natural Gas,Public,Space Cooling,149.31940754813039
2017,Natural Gas,Public,Space Heating,7274.267247962924
2017,Natural Gas,Public,Water Heating,1004.0369209241603
2017,Natural Gas,Residential,Clothe Dryer,138.9696291698269
2017,Natural Gas,Residential,Range,94.2295752039749
2017,Natural Gas,Residential,Space Heating,58212.139445778324
2017,Natural Gas,Residential,Water Heating,16406.128067201185
2017,Pet Coke,Industry,Industrial Processes,237.22660179956677
2017,Propane,Commercial,Auxiliary Equipment,1929.1774089382554
2017,Propane,Commercial,Space Heating,815.4725734466401
2017,Propane,Commercial,Water Heating,103.93801423337268
2017,Propane,Industry,Space Heating,21.88592759371441
2017,Propane,Industry,Water Heating,96.3846710776787
2017,Propane,Residential,Space Heating,0.492268957175249
2017,Propane,Residential,Water Heating,21.127155773597853
2017,Synthetic Gas,Commercial,Auxiliary Equipment,0.9685450286929965
2017,Synthetic Gas,Commercial,Space Cooling,0.42322459654547023
2017,Synthetic Gas,Commercial,Space Heating,2.9017693442665102
2017,Synthetic Gas,Commercial,Water Heating,1.6096399469522915
2017,Synthetic Gas,Public,Auxiliary Equipment,0.17086703648581988
2017,Synthetic Gas,Public,Space Cooling,0.405350695484016
2017,Synthetic Gas,Public,Space Heating,0.3809643023097328
2017,Synthetic Gas,Public,Water Heating,0.724222669849386
2017,Synthetic Gas,Residential,Space Heating,1.1980430877891464
2017,Synthetic Gas,Residential,Water Heating,0.6072307420120165
2018,Biomass,Industry,Industrial Processes,85.39442620548382
2018,Biomass,Residential,Space Heating,215.67490817547676
2018,Biomass,Residential,Water Heating,511.70552524862103
2018,Bio Methane,Commercial,Auxiliary Equipment,19.931115927248406
2018,Bio Methane,Commercial,Space Cooling,1.8565877850091101
2018,Bio Methane,Commercial,Space Heating,317.03581743556094
2018,Bio Methane,Commercial,Water Heating,230.4250217055941
2018,Bio Methane,Public,Auxiliary Equipment,2.1713003000617053
2018,Bio Methane,Public,Space Cooling,13.687107651066855
2018,Bio Methane,Public,Space Heating,72.02604063912344
2018,Bio Methane,Public,Water Heating,84.76586837869262
2018,Bio Methane,Residential,Space Heating,97.30837218629588
2018,Bio Methane,Residential,Water Heating,131.856128468935
2018,Wood Pellet,Residential,Space Heating,0.6936962886880107
2018,Wood Pellet,Residential,Water Heating,529.1841276317481
2018,Coal,Industry,Industrial Processes,98.31145558792089
2018,District Cooling,Commercial,Space Cooling,1259.8105828268644
2018,District Cooling,Public,Space Cooling,251.92505087313475
2018,District Cooling,Residential,Space Cooling,87.37214250433777
2018,District Heating,Commercial,Space Heating,3504.8849551300427
2018,District Heating,Commercial,Water Heating,611.8241553979788
2018,District Heating,Public,Space Heating,1501.455528362296
2018,District Heating,Public,Water Heating,320.01089043343114
2018,District Heating,Residential,Space Heating,192.48378988989745
2018,District Heating,Residential,Water Heating,836.1802679286061
2018,Electricity,Commercial,Auxiliary Equipment,17413.566543853114
2018,Electricity,Commercial,Auxiliary Motors,2293.33888746522
2018,Electricity,Commercial,Lighting,30133.244804717586
2018,Electricity,Commercial,Space Cooling,2672.416299215028
2018,Electricity,Commercial,Space Heating,1915.2998989204318
2018,Electricity,Commercial,Street Lighting,499.3290108876459
2018,Electricity,Commercial,Water Heating,176.40881215733245
2018,Electricity,Industry,Industrial Processes,2671.671656293899
2018,Electricity,Industry,Lighting,651.0352475588543
2018,Electricity,Industry,Space Cooling,367.4460387956082
2018,Electricity,Industry,Space Heating,757.3053731091351
2018,Electricity,Industry,Water Heating,1009.9410042028101
2018,Electricity,Public,Auxiliary Equipment,2036.6577759480388
2018,Electricity,Public,Auxiliary Motors,540.906780553129
2018,Electricity,Public,Lighting,1974.2934761098625
2018,Electricity,Public,Space Cooling,1236.0175864191501
2018,Electricity,Public,Space Heating,783.5894414000188
2018,Electricity,Public,Water Heating,31.408303898963542
2018,Electricity,Residential,Other Appliances,5931.442601164045
2018,Electricity,Residential,Clothe Dryer,2018.6448726094798
2018,Electricity,Residential,Clothe Washer,111.97297264713397
2018,Electricity,Residential,Dish Washer,146.6467795448478
2018,Electricity,Residential,Freezer,516.7924949951869
2018,Electricity,Residential,Lighting,2469.2356117230884
2018,Electricity,Residential,Range,1883.9180706894906
2018,Electricity,Residential,Refrigerator,1590.948909553507
2018,Electricity,Residential,Space Cooling,3285.5831061849635
2018,Electricity,Residential,Space Heating,4388.174673379099
2018,Electricity,Residential,Water Heating,834.7394851346288
2018,Heavy Fuel Oil,Commercial,Space Heating,4.512412295559048
2018,Heavy Fuel Oil,Commercial,Water Heating,28.308929421368223
2018,Heavy Fuel Oil,Industry,Industrial Processes,42.67362964167036
2018,Heavy Fuel Oil,Industry,Space Heating,25.413014834275916
2018,Heavy Fuel Oil,Industry,Water Heating,60.80355006867396
2018,Heavy Fuel Oil,Public,Water Heating,0.6306096126183465
2018,Hydrogen,Residential,Space Heating,0.7411438531953181
2018,Hydrogen,Residential,Water Heating,0.513810045765827
2018,Kerosene,Commercial,Space Heating,4.511082817516919
2018,Kerosene,Commercial,Water Heating,28.308520263077423
2018,Kerosene,Public,Water Heating,0.6306233794008194
2018,Kerosene,Residential,Space Heating,0.4793740142193356
2018,Kerosene,Residential,Water Heating,298.3101122506262
2018,Light Fuel Oil,Commercial,Space Heating,196.73690758845657
2018,Light Fuel Oil,Commercial,Water Heating,233.6889263679142
2018,Light Fuel Oil,Industry,Industrial Processes,479.78185245098666
2018,Light Fuel Oil,Industry,Space Heating,24.802477773671033
2018,Light Fuel Oil,Industry,Water Heating,44.37149895571269
2018,Light Fuel Oil,Public,Space Heating,342.56550270221163
2018,Light Fuel Oil,Public,Water Heating,64.1420782783598
2018,Light Fuel Oil,Residential,Space Heating,180.32266697580206
2018,Light Fuel Oil,Residential,Water Heating,342.2272497400804
2018,Mix Energy,Industry,Industrial Processes,15299.328317633688
2018,Natural Gas,Commercial,Auxiliary Equipment,2663.0096285884806
2018,Natural Gas,Commercial,Space Cooling,123.19728286326826
2018,Natural Gas,Commercial,Space Heating,35982.609502441104
2018,Natural Gas,Commercial,Water Heating,5752.4189609404475
2018,Natural Gas,Industry,Industrial Processes,11683.993756133505
2018,Natural Gas,Industry,Space Cooling,30.277058375437267
2018,Natural Gas,Industry,Space Heating,733.0524356081569
2018,Natural Gas,Industry,Water Heating,2876.8889230145055
2018,Natural Gas,Public,Auxiliary Equipment,385.03310799614866
2018,Natural Gas,Public,Space Cooling,160.16723367312142
2018,Natural Gas,Public,Space Heating,7279.868841890137
2018,Natural Gas,Public,Water Heating,896.3033179249353
2018,Natural Gas,Residential,Clothe Dryer,92.603943206815
2018,Natural Gas,Residential,Range,94.24075352981633
2018,Natural Gas,Residential,Space Heating,58480.539261434744
2018,Natural Gas,Residential,Water Heating,17932.499894405286
2018,Pet Coke,Industry,Industrial Processes,237.5015413312131
2018,Propane,Commercial,Auxiliary Equipment,1942.559270834039
2018,Propane,Commercial,Space Heating,1033.2548346391168
2018,Propane,Commercial,Water Heating,104.7393392925028
2018,Propane,Industry,Space Heating,21.911292821046068
2018,Propane,Industry,Water Heating,96.49637843313306
2018,Propane,Residential,Space Heating,0.6778898880918659
2018,Propane,Residential,Water Heating,524.6250858872718
2018,Synthetic Gas,Commercial,Auxiliary Equipment,1.6042348837123634
2018,Synthetic Gas,Commercial,Space Cooling,0.6963698877204029
2018,Synthetic Gas,Commercial,Space Heating,4.878866818520148
2018,Synthetic Gas,Commercial,Water Heating,3.1700107680297154
2018,Synthetic Gas,Public,Auxiliary Equipment,0.31410814364932865
2018,Synthetic Gas,Public,Space Cooling,0.6731625678551093
2018,Synthetic Gas,Public,Space Heating,1.0250706377564542
2018,Synthetic Gas,Public,Water Heating,1.3355138119613372
2018,Synthetic Gas,Residential,Space Heating,1.7172178920909715
2018,Synthetic Gas,Residential,Water Heating,1.22531673486829
2019,Biomass,Industry,Industrial Processes,85.49328154604005
2019,Biomass,Residential,Space Heating,216.76032721022278
2019,Biomass,Residential,Water Heating,549.8617864040106
2019,Bio Methane,Commercial,Auxiliary Equipment,30.68322268988805
2019,Bio Methane,Commercial,Space Cooling,2.8450476958867976
2019,Bio Methane,Commercial,Space Heating,344.96134061387846
2019,Bio Methane,Commercial,Water Heating,241.10847459646646
2019,Bio Methane,Public,Auxiliary Equipment,3.2688445175817473
2019,Bio Methane,Public,Space Cooling,15.192651570453945
2019,Bio Methane,Public,Space Heating,82.7509362355319
2019,Bio Methane,Public,Water Heating,87.449913837137
2019,Bio Methane,Residential,Space Heating,113.43896096540483
2019,Bio Methane,Residential,Water Heating,150.20182321919341
2019,Wood Pellet,Residential,Space Heating,0.867281167809111
2019,Wood Pellet,Residential,Water Heating,567.5059503391889
2019,Coal,Industry,Industrial Processes,98.42526409808377
2019,District Cooling,Commercial,Space Cooling,1262.1616331984524
2019,District Cooling,Public,Space Cooling,254.61921961901527
2019,District Cooling,Residential,Space Cooling,83.39936884296202
2019,District Heating,Commercial,Space Heating,3527.625596805711
2019,District Heating,Commercial,Water Heating,618.8011152306154
2019,District Heating,Public,Space Heating,1507.1866949043826
2019,District Heating,Public,Water Heating,319.1396026729343
2019,District Heating,Residential,Space Heating,71.95228259078758
2019,District Heating,Residential,Water Heating,958.3530885218336
2019,Electricity,Commercial,Auxiliary Equipment,17511.736002450252
2019,Electricity,Commercial,Auxiliary Motors,2306.428805390746
2019,Electricity,Commercial,Lighting,30314.7242099423
2019,Electricity,Commercial,Space Cooling,2690.7005632449327
