GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2017,CO2,Commercial,Accommodation and Food Services,Old,112360.97216712785
2017,CO2,Commercial,Educational Services,Old,281617.5973985841
2017,CO2,Commercial,Health Care and Social Assistance,Old,174773.31833460668
2017,CO2,Commercial,Information and Cultural Industries,Old,14593.089314710309
2017,CO2,Commercial,Offices,Old,987998.8513486797
2017,CO2,Commercial,Other Services,Old,114787.44893191107
2017,CO2,Commercial,Retail Trade,Old,354217.6358067644
2017,CO2,Commercial,Transportation and Warehousing,Old,62793.847435747586
2017,CO2,Commercial,Wholesale Trade,Old,223451.54712622016
2017,CO2,Industry,,,823318.7314151649
2017,CO2,Public,Hospital,Old,94983.92396458056
2017,CO2,Public,Municipality,Old,75483.8135532137
2017,CO2,Public,Post-Secondary Institution,Old,140906.21758205362
2017,CO2,Public,School board,Old,142020.30932259504
2017,CO2,Residential,Apartments,Old,1353327.733454048
2017,CO2,Residential,Single Attached,Old,713015.0091975073
2017,CO2,Residential,Single Detached,Old,1619024.0693868508
2017,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,96927.02599251008
2017,CO2e,Commercial,Accommodation and Food Services,Old,113113.85954731886
2017,CO2e,Commercial,Educational Services,Old,283497.99862150213
2017,CO2e,Commercial,Health Care and Social Assistance,Old,175969.0146855008
2017,CO2e,Commercial,Information and Cultural Industries,Old,14691.989741572534
2017,CO2e,Commercial,Offices,Old,995536.2676172717
2017,CO2e,Commercial,Other Services,Old,115537.60328114241
2017,CO2e,Commercial,Retail Trade,Old,356541.1721874885
2017,CO2e,Commercial,Transportation and Warehousing,Old,63220.6996082511
2017,CO2e,Commercial,Wholesale Trade,Old,224963.46886255147
2017,CO2e,Industry,,,828246.9451046396
2017,CO2e,Public,Hospital,Old,95512.66234567056
2017,CO2e,Public,Municipality,Old,75936.91156236982
2017,CO2e,Public,Post-Secondary Institution,Old,141738.82389684735
2017,CO2e,Public,School board,Old,142873.1167376381
2017,CO2e,Residential,Apartments,Old,1363084.5512190503
2017,CO2e,Residential,Single Attached,Old,717981.8135725319
2017,CO2e,Residential,Single Detached,Old,1630391.5801717285
2017,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0150951838305797
2017,N2O,Commercial,Accommodation and Food Services,Old,2.3713940247518375
2017,N2O,Commercial,Educational Services,Old,5.924735949297511
2017,N2O,Commercial,Health Care and Social Assistance,Old,3.7722546019117544
2017,N2O,Commercial,Information and Cultural Industries,Old,0.31153206682788015
2017,N2O,Commercial,Offices,Old,23.954847224833816
2017,N2O,Commercial,Other Services,Old,2.3587656427941703
2017,N2O,Commercial,Retail Trade,Old,7.311444529683695
2017,N2O,Commercial,Transportation and Warehousing,Old,1.3455452768654041
2017,N2O,Commercial,Wholesale Trade,Old,4.7654605643607955
2017,N2O,Industry,,,15.386692354410329
2017,N2O,Public,Hospital,Old,1.6540779902057776
2017,N2O,Public,Municipality,Old,1.415050179742932
2017,N2O,Public,Post-Secondary Institution,Old,2.6016798621589787
2017,N2O,Public,School board,Old,2.663363040139274
2017,N2O,Residential,Apartments,Old,25.701192771215947
2017,N2O,Residential,Single Attached,Old,13.414614620829655
2017,N2O,Residential,Single Detached,Old,30.452405026789975
