GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2022,CO2,Commercial,Information and Cultural Industries,Old,13673.01880525117
2022,CO2,Commercial,Offices,Old,984775.017531562
2022,CO2,Commercial,Other Services,Old,115454.7946746372
2022,CO2,Commercial,Retail Trade,Old,354671.80229125865
2022,CO2,Commercial,Transportation and Warehousing,Old,62197.34207373069
2022,CO2,Commercial,Wholesale Trade,Old,219899.1116459663
2022,CO2,Industry,,,828096.3841060473
2022,CO2,Public,Hospital,Old,97298.32820289985
2022,CO2,Public,Municipality,Old,79800.43116733948
2022,CO2,Public,Post-Secondary Institution,Old,144126.52475999575
2022,CO2,Public,School board,Old,150335.90051965206
2022,CO2,Residential,Apartments,Old,1494251.8596555877
2022,CO2,Residential,Single Attached,Old,731658.4781026944
2022,CO2,Residential,Single Detached,Old,1644502.3333173476
2022,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,94911.97974380002
2022,CO2e,Commercial,Accommodation and Food Services,Old,110495.53499309448
2022,CO2e,Commercial,Educational Services,Old,280905.0571969681
2022,CO2e,Commercial,Health Care and Social Assistance,Old,178670.42632813565
2022,CO2e,Commercial,Information and Cultural Industries,Old,13769.96699781796
2022,CO2e,Commercial,Offices,Old,992394.075021824
2022,CO2e,Commercial,Other Services,Old,116226.81096479871
2022,CO2e,Commercial,Retail Trade,Old,357042.0162012017
2022,CO2e,Commercial,Transportation and Warehousing,Old,62633.464024540415
2022,CO2e,Commercial,Wholesale Trade,Old,221417.27849409034
2022,CO2e,Industry,,,833053.1958250536
2022,CO2e,Public,Hospital,Old,97848.46925191376
2022,CO2e,Public,Municipality,Old,80293.62372369958
2022,CO2e,Public,Post-Secondary Institution,Old,144988.1765843792
2022,CO2e,Public,School board,Old,151266.40286210258
2022,CO2e,Residential,Apartments,Old,1517274.2428503884
2022,CO2e,Residential,Single Attached,Old,740232.6463976047
2022,CO2e,Residential,Single Detached,Old,1662465.4281462282
2022,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0254441950417266
2022,N2O,Commercial,Accommodation and Food Services,Old,2.3791566924444294
2022,N2O,Commercial,Educational Services,Old,5.9965797943715105
2022,N2O,Commercial,Health Care and Social Assistance,Old,3.9308812428692876
2022,N2O,Commercial,Information and Cultural Industries,Old,0.30561762347389426
2022,N2O,Commercial,Offices,Old,24.233590010988465
2022,N2O,Commercial,Other Services,Old,2.429885615753297
2022,N2O,Commercial,Retail Trade,Old,7.467089728264163
2022,N2O,Commercial,Transportation and Warehousing,Old,1.376615401084488
2022,N2O,Commercial,Wholesale Trade,Old,4.790299087568436
2022,N2O,Industry,,,15.4759800984222
2022,N2O,Public,Hospital,Old,1.7212314762655383
2022,N2O,Public,Municipality,Old,1.5402800747759864
2022,N2O,Public,Post-Secondary Institution,Old,2.6925919503233398
2022,N2O,Public,School board,Old,2.9060234839937507
2022,N2O,Residential,Apartments,Old,34.29095212068688
2022,N2O,Residential,Single Attached,Old,15.450984767417726
2022,N2O,Residential,Single Detached,Old,34.0219518999055
2023,CH4,Commercial,"Arts, Entertainment and Recreation",New,0.00337926293133901
2023,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8853135117795925
2023,CH4,Commercial,Accommodation and Food Services,New,0.0020756731093193154
2023,CH4,Commercial,Accommodation and Food Services,Old,2.1409632907550042
2023,CH4,Commercial,Educational Services,New,0.011635573593755414
2023,CH4,Commercial,Educational Services,Old,5.395436812520351
2023,CH4,Commercial,Health Care and Social Assistance,New,0.014664328448815152
2023,CH4,Commercial,Health Care and Social Assistance,Old,3.3546496387490894
2023,CH4,Commercial,Information and Cultural Industries,Old,0.2830585556675571
2023,CH4,Commercial,Offices,New,0.0396569526432863
2023,CH4,Commercial,Offices,Old,17.4429751942008
2023,CH4,Commercial,Other Services,New,0.01232365260228897
2023,CH4,Commercial,Other Services,Old,2.2812517997804744
2023,CH4,Commercial,Retail Trade,New,0.035577258600040684
2023,CH4,Commercial,Retail Trade,Old,6.842682289119356
2023,CH4,Commercial,Transportation and Warehousing,New,0.009033215366346109
2023,CH4,Commercial,Transportation and Warehousing,Old,1.259404462763774
2023,CH4,Commercial,Wholesale Trade,New,0.006562018687850729
2023,CH4,Commercial,Wholesale Trade,Old,4.2831543623072665
2023,CH4,Industry,,,15.843249800260239
2023,CH4,Public,Hospital,Old,1.9996743427604984
2023,CH4,Public,Municipality,Old,1.584628829066321
2023,CH4,Public,Post-Secondary Institution,Old,3.3703179843428237
2023,CH4,Public,School board,Old,2.797280722471439
2023,CH4,Residential,Apartments,New,1.7627726763460774
2023,CH4,Residential,Apartments,Old,528.9992390159888
2023,CH4,Residential,Single Attached,New,0.4139612825556945
2023,CH4,Residential,Single Attached,Old,168.4105220593881
2023,CH4,Residential,Single Detached,New,0.8333383192818639
2023,CH4,Residential,Single Detached,Old,346.29268677438677
2023,CO2,Commercial,"Arts, Entertainment and Recreation",New,161.08161416440058
2023,CO2,Commercial,"Arts, Entertainment and Recreation",Old,97164.14543328938
2023,CO2,Commercial,Accommodation and Food Services,New,97.62893971470496
2023,CO2,Commercial,Accommodation and Food Services,Old,110393.49145351295
2023,CO2,Commercial,Educational Services,New,587.9765966988286
2023,CO2,Commercial,Educational Services,Old,278124.71798491536
2023,CO2,Commercial,Health Care and Social Assistance,New,758.4278868860313
2023,CO2,Commercial,Health Care and Social Assistance,Old,173256.3988522207
2023,CO2,Commercial,Information and Cultural Industries,Old,14540.320562530793
2023,CO2,Commercial,Offices,New,2070.9797154538687
2023,CO2,Commercial,Offices,Old,910078.4217642605
2023,CO2,Commercial,Other Services,New,624.5828423848354
2023,CO2,Commercial,Other Services,Old,117506.51238881348
2023,CO2,Commercial,Retail Trade,New,1825.6607367641366
2023,CO2,Commercial,Retail Trade,Old,352021.2935185899
2023,CO2,Commercial,Transportation and Warehousing,New,460.37462592176774
2023,CO2,Commercial,Transportation and Warehousing,Old,64896.260912932885
2023,CO2,Commercial,Wholesale Trade,New,327.8734619949538
2023,CO2,Commercial,Wholesale Trade,Old,220606.20884385536
2023,CO2,Industry,,,749347.272751561
2023,CO2,Public,Hospital,Old,109202.98561065673
2023,CO2,Public,Municipality,Old,80472.89062889692
2023,CO2,Public,Post-Secondary Institution,Old,176502.44896072478
2023,CO2,Public,School board,Old,142313.99934690614
2023,CO2,Residential,Apartments,New,5939.83863870057
2023,CO2,Residential,Apartments,Old,1316501.2205700842
2023,CO2,Residential,Single Attached,New,179.03407429190187
2023,CO2,Residential,Single Attached,Old,651575.2254682247
2023,CO2,Residential,Single Detached,New,1452.0208071436653
2023,CO2,Residential,Single Detached,Old,1474710.6715435465
2023,CO2e,Commercial,"Arts, Entertainment and Recreation",New,163.1849088879763
2023,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,97821.82440172015
2023,CO2e,Commercial,Accommodation and Food Services,New,99.01467194192169
2023,CO2e,Commercial,Accommodation and Food Services,Old,111143.97773126478
2023,CO2e,Commercial,Educational Services,New,594.6872889479289
2023,CO2e,Commercial,Educational Services,Old,279953.1408512972
2023,CO2e,Commercial,Health Care and Social Assistance,New,767.4857727156823
2023,CO2e,Commercial,Health Care and Social Assistance,Old,174443.6488266192
2023,CO2e,Commercial,Information and Cultural Industries,Old,14647.029152431016
2023,CO2e,Commercial,Offices,New,2090.5529726120917
2023,CO2e,Commercial,Offices,Old,917062.0946122713
2023,CO2e,Commercial,Other Services,New,631.0308188737196
2023,CO2e,Commercial,Other Services,Old,118288.43111148356
2023,CO2e,Commercial,Retail Trade,New,1840.9369807089918
2023,CO2e,Commercial,Retail Trade,Old,354280.9659376558
2023,CO2e,Commercial,Transportation and Warehousing,New,465.3472752150529
2023,CO2e,Commercial,Transportation and Warehousing,Old,65343.73545480493
2023,CO2e,Commercial,Wholesale Trade,New,331.76032331057786
2023,CO2e,Commercial,Wholesale Trade,Old,222080.02036555897
2023,CO2e,Industry,,,754150.9551679045
2023,CO2e,Public,Hospital,Old,109819.64032293668
2023,CO2e,Public,Municipality,Old,80953.86946744466
2023,CO2e,Public,Post-Secondary Institution,Old,177531.08694047318
2023,CO2e,Public,School board,Old,143162.49317081715
2023,CO2e,Residential,Apartments,New,6063.021972833171
2023,CO2e,Residential,Apartments,Old,1336654.0527007673
2023,CO2e,Residential,Single Attached,New,191.02601154891727
2023,CO2e,Residential,Single Attached,Old,659277.9910258665
2023,CO2e,Residential,Single Detached,New,1491.8244491218554
2023,CO2e,Residential,Single Detached,Old,1491248.7455577878
2023,N2O,Commercial,"Arts, Entertainment and Recreation",New,0.006819900006770649
2023,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.074118740548415
2023,N2O,Commercial,Accommodation and Food Services,New,0.004503835878929566
2023,N2O,Commercial,Accommodation and Food Services,Old,2.3675370759930146
2023,N2O,Commercial,Educational Services,New,0.02169914497862811
2023,N2O,Commercial,Educational Services,Old,5.75543185677413
2023,N2O,Commercial,Health Care and Social Assistance,New,0.029362197759146155
2023,N2O,Commercial,Health Care and Social Assistance,Old,3.747658832163428
2023,N2O,Commercial,Information and Cultural Industries,Old,0.3381354370174416
2023,N2O,Commercial,Offices,New,0.06288745353259292
2023,N2O,Commercial,Offices,Old,22.205940835343885
2023,N2O,Commercial,Other Services,New,0.020769059678644116
2023,N2O,Commercial,Other Services,Old,2.4631289760897515
2023,N2O,Commercial,Retail Trade,New,0.048755441322997
2023,N2O,Commercial,Retail Trade,Old,7.100590909376457
2023,N2O,Commercial,Transportation and Warehousing,New,0.016050173726818537
2023,N2O,Commercial,Transportation and Warehousing,Old,1.4128424434695814
2023,N2O,Commercial,Wholesale Trade,New,0.012580734641539968
2023,N2O,Commercial,Wholesale Trade,Old,4.643843221795407
2023,N2O,Industry,,,15.003269028648345
2023,N2O,Public,Hospital,Old,1.9283944667177395
2023,N2O,Public,Municipality,Old,1.5023544736154024
2023,N2O,Public,Post-Secondary Institution,Old,3.2142996714000653
2023,N2O,Public,School board,Old,2.6501709018090613
2023,N2O,Residential,Apartments,New,0.2891446574809809
2023,N2O,Residential,Apartments,Old,30.348483595120914
2023,N2O,Residential,Single Attached,New,0.011069631957535936
2023,N2O,Residential,Single Attached,Old,13.980350987899838
2023,N2O,Residential,Single Detached,New,0.07484408480963259
2023,N2O,Residential,Single Detached,Old,31.093716751606483
2024,CH4,Commercial,"Arts, Entertainment and Recreation",New,0.00530234712690202
2024,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8235202855706802
2024,CH4,Commercial,Accommodation and Food Services,New,0.0033875794168997087
2024,CH4,Commercial,Accommodation and Food Services,Old,2.061470477152561
2024,CH4,Commercial,Educational Services,New,0.01648649489004309
2024,CH4,Commercial,Educational Services,Old,5.220670593975918
2024,CH4,Commercial,Health Care and Social Assistance,New,0.01981426262560393
2024,CH4,Commercial,Health Care and Social Assistance,Old,3.194997745858911
2024,CH4,Commercial,Information and Cultural Industries,Old,0.2772177019692981
2024,CH4,Commercial,Offices,New,0.07294920250151912
2024,CH4,Commercial,Offices,Old,16.851791698295088
2024,CH4,Commercial,Other Services,New,0.02261492230395913
2024,CH4,Commercial,Other Services,Old,2.2060575326945098
2024,CH4,Commercial,Retail Trade,New,0.06876776931303416
2024,CH4,Commercial,Retail Trade,Old,6.643962099102794
2024,CH4,Commercial,Transportation and Warehousing,New,0.017357333525829407
2024,CH4,Commercial,Transportation and Warehousing,Old,1.2320003403331163
2024,CH4,Commercial,Wholesale Trade,New,0.012216541217479953
2024,CH4,Commercial,Wholesale Trade,Old,4.1487464535907375
2024,CH4,Industry,,,18.985292098123473
2024,CH4,Public,Hospital,New,0.0025842935521101684
2024,CH4,Public,Hospital,Old,1.672313089068502
2024,CH4,Public,Municipality,New,0.002860031520143183
2024,CH4,Public,Municipality,Old,1.4446741003866057
2024,CH4,Public,Post-Secondary Institution,New,0.0027862578569161165
2024,CH4,Public,Post-Secondary Institution,Old,2.6700859244631685
2024,CH4,Public,School board,New,0.004171271736178891
2024,CH4,Public,School board,Old,2.3724574762819817
2024,CH4,Residential,Apartments,New,4.416951863766146
2024,CH4,Residential,Apartments,Old,474.99279106798
2024,CH4,Residential,Single Attached,New,0.7433737948969976
2024,CH4,Residential,Single Attached,Old,149.50183089803102
2024,CH4,Residential,Single Detached,New,1.911138057379409
2024,CH4,Residential,Single Detached,Old,319.5917298367458
2024,CO2,Commercial,"Arts, Entertainment and Recreation",New,254.2049331155571
2024,CO2,Commercial,"Arts, Entertainment and Recreation",Old,93907.36139485495
2024,CO2,Commercial,Accommodation and Food Services,New,162.47518964877204
2024,CO2,Commercial,Accommodation and Food Services,Old,106207.30635912622
2024,CO2,Commercial,Educational Services,New,842.2033109663292
2024,CO2,Commercial,Educational Services,Old,268645.50076371897
2024,CO2,Commercial,Health Care and Social Assistance,New,1021.6434994914321
2024,CO2,Commercial,Health Care and Social Assistance,Old,164857.27160036878
2024,CO2,Commercial,Information and Cultural Industries,Old,14258.902507516661
2024,CO2,Commercial,Offices,New,3769.818412669385
2024,CO2,Commercial,Offices,Old,878910.488854488
2024,CO2,Commercial,Other Services,New,1157.8533640941941
2024,CO2,Commercial,Other Services,Old,113570.24090600417
2024,CO2,Commercial,Retail Trade,New,3522.1791438780765
2024,CO2,Commercial,Retail Trade,Old,341172.0386007831
2024,CO2,Commercial,Transportation and Warehousing,New,890.4368283618113
2024,CO2,Commercial,Transportation and Warehousing,Old,63399.482255942974
2024,CO2,Commercial,Wholesale Trade,New,623.632312204969
2024,CO2,Commercial,Wholesale Trade,Old,213432.24069211868
2024,CO2,Industry,,,738194.7578775781
2024,CO2,Public,Hospital,New,117.3783416812308
2024,CO2,Public,Hospital,Old,92231.40962493113
2024,CO2,Public,Municipality,New,129.29729756467978
2024,CO2,Public,Municipality,Old,73471.14791476398
2024,CO2,Public,Post-Secondary Institution,New,125.72522957004196
2024,CO2,Public,Post-Secondary Institution,Old,139694.08064478292
2024,CO2,Public,School board,New,192.30397460619807
2024,CO2,Public,School board,Old,120827.47790113668
2024,CO2,Residential,Apartments,New,10279.314708029886
2024,CO2,Residential,Apartments,Old,1119442.345526799
2024,CO2,Residential,Single Attached,New,394.38698562648557
2024,CO2,Residential,Single Attached,Old,590888.5329037269
2024,CO2,Residential,Single Detached,New,2960.1663332729427
2024,CO2,Residential,Single Detached,Old,1356501.279037326
2024,CO2e,Commercial,"Arts, Entertainment and Recreation",New,257.25251063103383
2024,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,94531.76809478634
2024,CO2e,Commercial,Accommodation and Food Services,New,164.61601313479855
2024,CO2e,Commercial,Accommodation and Food Services,Old,106916.73783506318
2024,CO2e,Commercial,Educational Services,New,850.9507760187023
2024,CO2e,Commercial,Educational Services,Old,270379.38494723075
2024,CO2e,Commercial,Health Care and Social Assistance,New,1032.5469232852122
2024,CO2e,Commercial,Health Care and Social Assistance,Old,165968.93247943855
2024,CO2e,Commercial,Information and Cultural Industries,Old,14362.017479512017
2024,CO2e,Commercial,Offices,New,3799.6206561805716
2024,CO2e,Commercial,Offices,Old,885633.7630187864
2024,CO2e,Commercial,Other Services,New,1168.122103253938
2024,CO2e,Commercial,Other Services,Old,114315.56989238894
2024,CO2e,Commercial,Retail Trade,New,3547.947320898542
2024,CO2e,Commercial,Retail Trade,Old,343322.649225153
2024,CO2e,Commercial,Transportation and Warehousing,New,898.6022311806388
2024,CO2e,Commercial,Transportation and Warehousing,Old,63824.406917318076
2024,CO2e,Commercial,Wholesale Trade,New,630.0350065858843
2024,CO2e,Commercial,Wholesale Trade,Old,214832.1223718301
2024,CO2e,Industry,,,743696.2071449958
2024,CO2e,Public,Hospital,New,118.44895337772748
2024,CO2e,Public,Hospital,Old,92748.66064417835
2024,CO2e,Public,Municipality,New,130.4666257691225
2024,CO2e,Public,Municipality,Old,73909.95825835214
2024,CO2e,Public,Post-Secondary Institution,New,126.88663626822942
2024,CO2e,Public,Post-Secondary Institution,Old,140509.2485032307
2024,CO2e,Public,School board,New,194.00411693577692
2024,CO2e,Public,School board,Old,121547.51560501527
2024,CO2e,Residential,Apartments,New,10561.011775739298
2024,CO2e,Residential,Apartments,Old,1137402.5779383462
2024,CO2e,Residential,Single Attached,New,417.8475568861988
2024,CO2e,Residential,Single Attached,Old,597957.2234387248
2024,CO2e,Residential,Single Detached,New,3057.3362954624686
2024,CO2e,Residential,Single Detached,Old,1371909.9934475773
2024,N2O,Commercial,"Arts, Entertainment and Recreation",New,0.009853114851716869
2024,N2O,Commercial,"Arts, Entertainment and Recreation",Old,1.9668213890415809
2024,N2O,Commercial,Accommodation and Food Services,New,0.006945249390172879
2024,N2O,Commercial,Accommodation and Food Services,Old,2.2353711272372374
2024,N2O,Commercial,Educational Services,New,0.028192109596249508
2024,N2O,Commercial,Educational Services,Old,5.4505036947580106
2024,N2O,Commercial,Health Care and Social Assistance,New,0.0351923633511497
2024,N2O,Commercial,Health Care and Social Assistance,Old,3.5052547865993042
2024,N2O,Commercial,Information and Cultural Industries,Old,0.32648792031541585
2024,N2O,Commercial,Offices,New,0.0948668129485014
2024,N2O,Commercial,Offices,Old,21.37378033098774
2024,N2O,Commercial,Other Services,New,0.032865187219328997
2024,N2O,Commercial,Other Services,Old,2.345643551000875
2024,N2O,Commercial,Retail Trade,New,0.08162434182848681
2024,N2O,Commercial,Retail Trade,Old,6.748615504324766
2024,N2O,Commercial,Transportation and Warehousing,New,0.02617751280129532
2024,N2O,Commercial,Transportation and Warehousing,Old,1.3391028665372904
2024,N2O,Commercial,Wholesale Trade,New,0.020624654413917847
2024,N2O,Commercial,Wholesale Trade,Old,4.4052282019662865
2024,N2O,Industry,,,17.12334944079323
2024,N2O,Public,Hospital,New,0.003410542053363422
2024,N2O,Public,Hospital,Old,1.6178941086469723
2024,N2O,Public,Municipality,New,0.003722374303757502
2024,N2O,Public,Municipality,Old,1.3707120385234144
2024,N2O,Public,Post-Secondary Institution,New,0.00370099088319513
2024,N2O,Public,Post-Secondary Institution,Old,2.547302194745272
2024,N2O,Public,School board,New,0.005411226923217923
2024,N2O,Public,School board,Old,2.249047304955233
2024,N2O,Residential,Apartments,New,0.6340304650010681
2024,N2O,Residential,Apartments,Old,26.796589929931425
2024,N2O,Residential,Single Attached,New,0.02634134753985304
2024,N2O,Residential,Single Attached,Old,13.185074114560297
2024,N2O,Residential,Single Detached,New,0.19139618451194032
2024,N2O,Residential,Single Detached,Old,29.185530482147545
2025,CH4,Commercial,"Arts, Entertainment and Recreation",New,0.00687722931268491
2025,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8425312618336662
2025,CH4,Commercial,Accommodation and Food Services,New,0.004577148541790351
2025,CH4,Commercial,Accommodation and Food Services,Old,2.0689575352548317
2025,CH4,Commercial,Educational Services,New,0.021113388612289122
2025,CH4,Commercial,Educational Services,Old,5.264307494401136
2025,CH4,Commercial,Health Care and Social Assistance,New,0.02600944789466754
2025,CH4,Commercial,Health Care and Social Assistance,Old,3.2011141944331327
2025,CH4,Commercial,Information and Cultural Industries,Old,0.28178167423967715
2025,CH4,Commercial,Offices,New,0.1147051275069572
2025,CH4,Commercial,Offices,Old,16.48506393438591
2025,CH4,Commercial,Other Services,New,0.03811102601148497
2025,CH4,Commercial,Other Services,Old,2.2311425314225692
2025,CH4,Commercial,Retail Trade,New,0.10859877053898272
2025,CH4,Commercial,Retail Trade,Old,6.707830129356214
2025,CH4,Commercial,Transportation and Warehousing,New,0.030889399715354884
2025,CH4,Commercial,Transportation and Warehousing,Old,1.248600132682204
2025,CH4,Commercial,Wholesale Trade,New,0.01903051367892271
2025,CH4,Commercial,Wholesale Trade,Old,4.162568461948048
2025,CH4,Industry,,,20.32229028470251
2025,CH4,Public,Hospital,New,0.007970828959802547
2025,CH4,Public,Hospital,Old,1.6111681296667202
2025,CH4,Public,Municipality,New,0.008877873525227276
2025,CH4,Public,Municipality,Old,1.356818843688734
2025,CH4,Public,Post-Secondary Institution,New,0.00832404129508489
2025,CH4,Public,Post-Secondary Institution,Old,2.635325936982629
2025,CH4,Public,School board,New,0.01293967731264984
2025,CH4,Public,School board,Old,2.3451394459141257
2025,CH4,Residential,Apartments,New,8.921683107719707
2025,CH4,Residential,Apartments,Old,460.2963766192889
2025,CH4,Residential,Single Attached,New,1.1377570500504632
2025,CH4,Residential,Single Attached,Old,148.17436202594098
2025,CH4,Residential,Single Detached,New,3.895758350439324
2025,CH4,Residential,Single Detached,Old,313.9101981589411
2025,CO2,Commercial,"Arts, Entertainment and Recreation",New,348.8818279547705
2025,CO2,Commercial,"Arts, Entertainment and Recreation",Old,95215.55452578797
2025,CO2,Commercial,Accommodation and Food Services,New,231.40464758373764
2025,CO2,Commercial,Accommodation and Food Services,Old,106903.18520744695
2025,CO2,Commercial,Educational Services,New,1122.1668351370608
2025,CO2,Commercial,Educational Services,Old,271570.67153938697
2025,CO2,Commercial,Health Care and Social Assistance,New,1391.1908537582888
2025,CO2,Commercial,Health Care and Social Assistance,Old,165443.54388924997
2025,CO2,Commercial,Information and Cultural Industries,Old,14619.437731719236
2025,CO2,Commercial,Offices,New,5973.471518521039
2025,CO2,Commercial,Offices,Old,854072.2087349799
2025,CO2,Commercial,Other Services,New,1985.590576647266
2025,CO2,Commercial,Other Services,Old,115147.73689429749
2025,CO2,Commercial,Retail Trade,New,5608.36026499471
2025,CO2,Commercial,Retail Trade,Old,345547.4416346585
2025,CO2,Commercial,Transportation and Warehousing,New,1612.5772168245705
2025,CO2,Commercial,Transportation and Warehousing,Old,64601.2902936537
2025,CO2,Commercial,Wholesale Trade,New,1005.8025142365844
2025,CO2,Commercial,Wholesale Trade,Old,214606.148395941
2025,CO2,Industry,,,694845.6458014839
2025,CO2,Public,Hospital,New,367.40066150600876
2025,CO2,Public,Hospital,Old,80703.5066777477
2025,CO2,Public,Municipality,New,411.1782280672416
2025,CO2,Public,Municipality,Old,61784.556881253564
2025,CO2,Public,Post-Secondary Institution,New,382.317227022242
2025,CO2,Public,Post-Secondary Institution,Old,127493.87078994057
2025,CO2,Public,School board,New,566.6465304152356
2025,CO2,Public,School board,Old,108369.0327160742
2025,CO2,Residential,Apartments,New,16911.06403721883
2025,CO2,Residential,Apartments,Old,1088374.037312967
2025,CO2,Residential,Single Attached,New,634.678907763435
2025,CO2,Residential,Single Attached,Old,586240.3492291627
2025,CO2,Residential,Single Detached,New,4440.662182845136
2025,CO2,Residential,Single Detached,Old,1342228.1806429285
2025,CO2e,Commercial,"Arts, Entertainment and Recreation",New,353.03207109125975
2025,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95864.59210321688
2025,CO2e,Commercial,Accommodation and Food Services,New,234.44594509871578
2025,CO2e,Commercial,Accommodation and Food Services,Old,107632.39521518518
2025,CO2e,Commercial,Educational Services,New,1134.0468716676248
2025,CO2e,Commercial,Educational Services,Old,273369.77795645787
2025,CO2e,Commercial,Health Care and Social Assistance,New,1406.5103098650018
2025,CO2e,Commercial,Health Care and Social Assistance,Old,166570.63191982076
2025,CO2e,Commercial,Information and Cultural Industries,Old,14727.357120593648
2025,CO2e,Commercial,Offices,New,6019.8013343863795
2025,CO2e,Commercial,Offices,Old,860137.4152293403
2025,CO2e,Commercial,Other Services,New,2001.639805889209
2025,CO2e,Commercial,Other Services,Old,115916.86515499087
2025,CO2e,Commercial,Retail Trade,New,5648.285822828618
2025,CO2e,Commercial,Retail Trade,Old,347804.2265255157
2025,CO2e,Commercial,Transportation and Warehousing,New,1625.8889823452612
2025,CO2e,Commercial,Transportation and Warehousing,Old,65053.19363288799
2025,CO2e,Commercial,Wholesale Trade,New,1015.4092054590108
2025,CO2e,Commercial,Wholesale Trade,Old,216038.19855702142
2025,CO2e,Industry,,,700656.2430675974
2025,CO2e,Public,Hospital,New,370.04379767450524
2025,CO2e,Public,Hospital,Old,81200.27647493302
2025,CO2e,Public,Municipality,New,414.1063778599074
2025,CO2e,Public,Municipality,Old,62196.40156858519
2025,CO2e,Public,Post-Secondary Institution,New,385.0834292737853
2025,CO2e,Public,Post-Secondary Institution,Old,128297.50068037261
2025,CO2e,Public,School board,New,570.8759267988102
2025,CO2e,Public,School board,Old,109080.41025467416
2025,CO2e,Residential,Apartments,New,17339.21107993109
2025,CO2e,Residential,Apartments,Old,1105585.122279727
2025,CO2e,Residential,Single Attached,New,671.5411229225426
2025,CO2e,Residential,Single Attached,Old,593128.3544512059
2025,CO2e,Residential,Single Detached,New,4598.7814071575085
2025,CO2e,Residential,Single Detached,Old,1357248.942482085
2025,N2O,Commercial,"Arts, Entertainment and Recreation",New,0.013442353425915876
2025,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0481356407060805
2025,N2O,Commercial,Accommodation and Food Services,New,0.009883145622820435
2025,N2O,Commercial,Accommodation and Food Services,Old,2.3012144278453195
2025,N2O,Commercial,Educational Services,New,0.03837803815337305
2025,N2O,Commercial,Educational Services,Old,5.666295166738845
2025,N2O,Commercial,Health Care and Social Assistance,New,0.049574690271559696
2025,N2O,Commercial,Health Care and Social Assistance,Old,3.556592726468612
2025,N2O,Commercial,Information and Cultural Industries,Old,0.34228850240056574
2025,N2O,Commercial,Offices,New,0.14738593351574178
2025,N2O,Commercial,Offices,Old,19.19134279106894
2025,N2O,Commercial,Other Services,New,0.05117079763658421
2025,N2O,Commercial,Other Services,Old,2.4237391527970304
2025,N2O,Commercial,Retail Trade,New,0.12632544849860666
2025,N2O,Commercial,Retail Trade,Old,7.100404221948036
2025,N2O,Commercial,Transportation and Warehousing,New,0.04249358431768059
2025,N2O,Commercial,Transportation and Warehousing,Old,1.4284655585502943
2025,N2O,Commercial,Wholesale Trade,New,0.030896142399895615
2025,N2O,Commercial,Wholesale Trade,Old,4.51220209187745
2025,N2O,Industry,,,18.066540839377215
2025,N2O,Public,Hospital,New,0.008307881746109105
2025,N2O,Public,Hospital,Old,1.5534740485312635
2025,N2O,Public,Municipality,New,0.00920038405582493
2025,N2O,Public,Municipality,Old,1.2864144013896879
2025,N2O,Public,Post-Secondary Institution,New,0.008695964377001373
2025,N2O,Public,Post-Secondary Institution,Old,2.5110337105888263
2025,N2O,Public,School board,New,0.013280748859089265
2025,N2O,Public,School board,Old,2.2219114437441823
2025,N2O,Residential,Apartments,New,0.8080258303695517
2025,N2O,Residential,Apartments,Old,25.318325697159644
2025,N2O,Residential,Single Attached,New,0.04352119834915342
2025,N2O,Residential,Single Attached,Old,12.67229402516195
2025,N2O,Residential,Single Detached,New,0.2560681172924415
2025,N2O,Residential,Single Detached,Old,28.284052610128803
2030,CH4,Commercial,"Arts, Entertainment and Recreation",New,0.0051075597921334814
2030,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.5613237881523676
2030,CH4,Commercial,Accommodation and Food Services,New,0.0035476403101855087
2030,CH4,Commercial,Accommodation and Food Services,Old,1.7429461105216448
2030,CH4,Commercial,Educational Services,New,0.015612418248763672
2030,CH4,Commercial,Educational Services,Old,4.836112902719804
2030,CH4,Commercial,Health Care and Social Assistance,New,0.0123863299967491
2030,CH4,Commercial,Health Care and Social Assistance,Old,2.9052935905992032
2030,CH4,Commercial,Information and Cultural Industries,Old,0.22408635599772417
2030,CH4,Commercial,Offices,New,0.23899234745028017
2030,CH4,Commercial,Offices,Old,13.720689507677502
2030,CH4,Commercial,Other Services,New,0.08925469423588626
2030,CH4,Commercial,Other Services,Old,1.9010144782730773
2030,CH4,Commercial,Retail Trade,New,0.25024210001956143
2030,CH4,Commercial,Retail Trade,Old,5.8146826990750435
2030,CH4,Commercial,Transportation and Warehousing,New,0.07765293172818316
2030,CH4,Commercial,Transportation and Warehousing,Old,1.0297210970990633
2030,CH4,Commercial,Wholesale Trade,New,0.04656034033796163
2030,CH4,Commercial,Wholesale Trade,Old,3.526610267116143
2030,CH4,Industry,,,51.732511908078976
