,built_lowest,built_highest,built_mean,embodied_lowest,embodied_highest,embodied_mean,operational_lowest,operational_highest,operational_mean,sum_lowest,sum_highest,sum_mean
2023,199670.0,261976.0,229192.06555555554,8.5063087644791,11.168270593576413,9.770507931422259,1.936506991909655,2.540776272016935,2.2228256300749325,10.442815756388754,13.709046865593347,11.993333561497186
2024,200676.0,265716.0,231192.9322222222,8.399460758286505,11.101984135826571,9.657994861770826,3.822314426781477,5.038148619013853,4.395542520924024,12.221775185067981,16.140132754840423,14.053537382694843
2025,201637.0,269400.0,233140.32666666666,8.253852059416452,11.02250937597136,9.54010518713577,5.656563035460891,7.489904282023913,6.516742715322966,13.910415094877344,18.512413657995275,16.056847902458735
2026,202470.0,273010.0,234997.37333333332,8.106566924496512,10.933576075503975,9.4148504592852,7.437618653892999,9.89368253716254,8.584708141123874,15.544185578389511,20.827258612666515,17.999558600409078
2027,203209.0,276536.0,236774.90555555557,7.963983034402272,10.844020943844354,9.284454874092436,9.164241906439308,12.247076872186785,10.597874463083079,17.12822494084158,23.091097816031137,19.882329337175516
2028,203883.0,279980.0,238489.45555555556,7.824934297722755,10.745601461925022,9.147514538429087,10.835535283471646,14.547771521145037,12.554873388010838,18.660469581194402,25.293372983070057,21.702387926439936
2029,204507.0,283344.0,240145.7477777778,7.668519193188061,10.627544246577408,9.005596197045655,12.4507534968856,16.793502682728644,14.454416124620614,20.11927269007366,27.42104692930605,23.460012321666284
2030,205084.0,286647.0,241749.27555555556,7.519727509689587,10.511495952390296,8.859261350359434,14.009203894452792,18.982208597244522,16.29529619406676,21.52893140414238,29.49370454963482,25.154557544426183
2031,205620.0,289916.0,243307.6422222222,7.541735781603255,10.635597903798237,8.917014767384359,15.510266527843157,21.112097730480187,18.0764040529921,23.05200230944641,31.747695634278422,26.993418820376466
2032,206120.0,293180.0,244830.31222222222,7.551674266209658,10.736946525248431,8.972594658010047,16.95340547283573,23.18166500518949,19.796735983499392,24.50507973904539,33.91861153043792,28.769330641509413
2033,206580.0,296487.0,246333.50111111114,7.573458388833905,10.852844437248757,9.02713309224359,18.338066698425354,25.18978036448885,21.455442370287013,25.91152508725926,36.04262480173761,30.48257546253059
2034,207013.0,299833.0,247818.65666666665,7.597076316228391,10.995901410352115,9.081946637162252,19.663821565568092,27.135249353532103,23.051697998871422,27.260897881796485,38.13115076388422,32.133644636033665
2035,207417.0,303223.0,249288.3866666667,7.6053225981838235,11.116060568102759,9.135506581326455,20.930254990486908,29.016910083348787,24.58470814862235,28.535577588670733,40.132970651451544,33.7202147299488
2036,207796.0,306663.0,250745.83,7.615344265760796,11.228930242759198,9.189064962810994,22.136974539197915,30.833613760475966,26.05371215679843,29.752318804958712,42.06254400323516,35.24277711960942
2037,208156.0,310154.0,252194.79000000004,7.628516116641458,11.358527520412053,9.24231923183244,23.283674178637593,32.58419819589461,27.45798529017594,30.91219029527905,43.94272571630666,36.70030452200837
2038,208499.0,313703.0,253637.67333333334,7.629569849166735,11.498529361250997,9.294997327777365,24.37006146976377,34.26749459610842,28.79682605028353,31.999631318930504,45.766023957359415,38.0918233780609
2039,208826.0,317307.0,255078.2788888889,7.648951502754899,11.638197916146781,9.347766046078332,25.395870609041804,35.88231123175209,30.069564849812746,33.044822111796705,47.52050914789887,39.41733089589108
2040,209143.0,320976.0,256520.67777777778,7.673281391531647,11.767574036264397,9.401255524146691,26.36088198163658,37.42746427900375,31.275561290349845,34.03416337316823,49.19503831526815,40.67681681449653
2041,209450.0,324709.0,257969.49555555556,7.68899090245056,11.913385442131997,9.45385748573754,27.264882012348956,38.90174476362016,32.414207016111924,34.95387291479952,50.815130205752155,41.86806450184947
2042,209757.0,328507.0,259428.6888888889,7.676390362163228,12.032634972334648,9.507297511361335,28.10773146395487,40.30391977969932,33.48491668845326,35.784121826118096,52.33655475203397,42.992214199814576
2043,210060.0,332380.0,260903.26,7.687906933129317,12.177272772789937,9.561343685481816,28.889258924979544,41.63275549476456,34.4871317849032,36.57716585810886,53.8100282675545,44.04847547038503
2044,210360.0,336284.0,262380.8977777778,7.690739925982951,12.333183678329663,9.615144116661952,29.60931040641254,42.886708088437324,35.42020454080809,37.339517247167905,55.219891766766985,45.03534865747005
2045,210646.0,340223.0,263856.53555555554,7.724484819780017,12.460686897835236,9.6693762509358,30.26765552349573,44.06421894008442,36.283453194983366,37.99453077451213,56.52490583791966,45.95282944591918
2046,210920.0,344193.0,265331.32444444444,7.726149595635793,12.613954614301383,9.723429707075853,30.86410055573051,45.163704941104974,37.076203390437655,38.596440645144604,57.77765955540636,46.79963309751352
2047,211186.0,348203.0,266806.8511111111,7.732874199410521,12.759605901250419,9.777287513364511,31.39846250403503,46.18361083676208,37.79779191858659,39.14061435710901,58.943216738012495,47.5750794319511
2048,211436.0,352250.0,268283.3777777778,7.740077323019328,12.913735704751542,9.831962266004112,31.870531301336626,47.1223417953826,38.44755644396105,39.625815343917765,60.03607750013414,48.27951870996517
2049,211677.0,356343.0,269762.4122222222,7.754978581843612,13.064552160701869,9.885723131590721,32.280148874886,47.978325251184906,39.024842526586916,40.03512745672961,61.04287741188678,48.91056565817761
2050,211860.0,360484.0,271246.3622222222,7.755035470318503,13.211995864167852,9.939966233513207,32.627124165459534,48.74998648091659,39.52900773794702,40.38215963577804,61.961982345084444,49.46897397146025
