,Single,Semi-Detached,Row,Apartment,All,year,month,quarter
2023-01-01,390.0,4.0,247.0,2054.0,2695.0,2023,1,1
2023-02-01,468.0,14.0,283.0,3461.0,4226.0,2023,2,1
2023-03-01,402.0,32.0,512.0,2236.0,3182.0,2023,3,1
2023-04-01,316.0,6.0,256.0,4364.0,4942.0,2023,4,2
2023-05-01,325.0,42.0,380.0,2805.0,3552.0,2023,5,2
2023-06-01,370.0,18.0,503.0,6280.0,7171.0,2023,6,2
2023-07-01,472.0,14.0,560.0,4154.0,5200.0,2023,7,3
2023-08-01,390.0,68.0,589.0,3090.0,4137.0,2023,8,3
2023-09-01,406.0,36.0,676.0,3757.0,4875.0,2023,9,3
2023-10-01,434.0,22.0,288.0,2964.0,3708.0,2023,10,4
2023-11-01,419.0,56.0,392.0,1437.0,2304.0,2023,11,4
2023-12-01,329.0,16.0,174.0,917.0,1436.0,2023,12,4
2024-01-01,281.0,6.0,384.0,3334.0,4005.0,2024,1,1
